detail_list,mark
"jl. jendral sudirman no.47 balikpapan superblok, pentacity Mall Lt.GF 05, tenan Aldo",__label__positive
"jl. kaliasin gg 2 no 16 RT 2 RW 11 Surabaya
(sebelah Tunjungan plaza
)",__label__positive
Solaria lippo plaza sidoarjo(Lt dasar),__label__positive
Jl mh thamrin no 10 jakarta pusat 10230(Uob plaza starbucks ),__label__positive
"plaza niaga 1 ,blok b no 27,massage edellwaise",__label__positive
"Jl. Siliwangi No.68, RT.05/RW.04(PT AGRICON di seberang Plaza Ekalokasari)",__label__positive
Lipo plaza sidoarjo lantai ug stan warung kuliner 69 ,__label__positive
Goan cell jln.stadion dua sudara manembo nembo tengah,__label__positive
"PT ACE HARDWARE JL AHMAD YANI KM 36,8 Q MALL Banjarbaru U6 24 Kalimantan selatan (lantai 2 )",__label__positive
jl raya hj. usa Rt04/02 desa Ciseeng kecamatan Ciseeng kabupaten bogor(konter Qbink Cell / Villa penghafal Al-Qur'an),__label__positive
jln gembong  20-30 (itc mall lantai 3 fc 30 depot pelita),__label__positive
Jl. Makmur Dg Sitakka (bonto cina)  / Toko ARTA CELL ,__label__positive
"Jl. Blimbing Indah Megah No.2, Purwodadi, Kec. Blimbing, Kota Malang, Jawa Timur 65126

(plaza araya lt 1 butik sepatu LUGZ)",__label__positive
"Jalan Boulevard Raya No.Lb 3, RT.12/RW.18, East Kelapa Gading, North Jakarta City, Jakarta(ALFAMART BMKG depan mall kelapa gading 3 )",__label__positive
"Jl peta no 241 , Mall Festival City Link,Toko Celine Jewellery lt GF no 39 (lantai dasar pinggir matahari)",__label__positive
Tridi Cell Jl Mulyorejo Dsn Sidorejo Ds mulyorejo Kec Ngantang Kab Malang,__label__positive
jalan raya Kejobong RT 01 RW 01(Depan BRI (Konter Hasbuna Cell Kejobong)),__label__positive
Gramedia Plaza Madiun jln pahlawana no 40(lantai 2),__label__positive
duku ilir depan kelvin Cell ada warung,__label__positive
Halilintar cell(jl.teuku umar no. 132 pelar pandian sumenep . halilintar cell ),__label__positive
plaza ciputat lantai dasar no 37-38 toko Zahara kota Tangerang Selatan(lantai dasar no 37-38),__label__positive
"jln. pahlawan no. 1 suncity mall sidoarjo, jawa timur(tenant tea gopek lantai 2,suncity mall sidoarjo)",__label__positive
jl.raya pakisaji no.64 malang nirwana cell depan spbu pakisaji .(nirwana cell),__label__positive
jalan lednan Murod talang ratu (jalan lednan Murod talang ratu  konter Milla Cell ),__label__positive
Kopi kenangan Ramai mall Lt Gf. Jalan jend ahmad Yani No.73 .ngupasan Gondomanan,__label__positive
Delta Cell Singosaren Plaza lt. Dasar Blok E31-32,__label__positive
jl Fachrudin no 18 (plaza Simas ),__label__positive
jl gatot subroto no 26 rw 001 sangiang jaya kec periuk(ERAFONE JATIUWUNG) kota tangerang banten 15134(erafone megastore ruko jatiuwung sebrang indogrosir.),__label__positive
"toko mas wahyu redjo royal Plaza lantai ground B 3 1 33-35
",__label__positive
toko hp king cell(toko hp king Cell depan baso Aci akang),__label__positive
"JLN DERMOJOYO UTARA ALUN ALUN BERBEK KONTER DAFFA CELL DEPAN FUTSAL, Berbek Jawa timur, kab Nganjuk",__label__positive
"gaden, jatingarang, weru, Sukoharjo(konter Wahyu Cell gaden)",__label__positive
Aeon mall bsd city (xiaomi store aeon bsd lantai 3),__label__positive
Perumahan Mulia Hills Residence no B 4 Jl.Katim Plaza (Blakang kantor imigrasi kota Depok) Depok Cilodong Jawa barat (Rumah Blakang Kantor imigrasi ),__label__positive
"Ruko panbil mall blok B no.7 ,lt 2",__label__positive
"Grand mall batam lantai 3 di toko limau nasi jeruk(Lantai 3, di limau )",__label__positive
"Jalan Raya Sukabumi KM. 17 No. 3, Caringin, Kec. Caringin, Bogor, Jawa Barat 16730(Kirim Saja Ke Conter Handphone 99 Cellular ,Sebrang Dokter 24 Jam.)",__label__positive
"plaza jambu 2,lantai 1 block B no 40-41 toko Smart Celluler ..bogor utara jawabarat",__label__positive
toko galaxy sport no 35 rt 23 belakang plaza kebun sayur,__label__positive
"Puri indah mall kembangan Jakarta barat ..toko Hillary farm lantai dasar depan atm bca
(toko Hillary farm lantai Dasar depan Atm bca lobi timur

)",__label__positive
"desa pujiwaluyo (konter Rohim Cell , samping dealer nano motor)",__label__positive
"konter Pandawa Cell jkt,jl.anggrek Cendrawasih IX rt 02/rw 03",__label__positive
rr cell jl kh subkhi no 13 kauman parakan,__label__positive
Jl. Beskalan No.9 (warung soto pojok rame depan atm center ramail mall pintu samping ),__label__positive
Star phone lt1 blok A5 Ramai Mall  jl ahmad yani no 73 Malioboro(star phone lt 1 blok A5),__label__positive
kp. kali ulu konter amin Cell (konter amin Cell Deket SMK Al ishlah cari aja konter mamah Risma ),__label__positive
"jl. Raya kuta bumi pondok makmur, blok Cs 04 No 14 (Ruko Star Phone 1667)(kode pos 15560)",__label__positive
"JPP Skin Center. Lantai 1. Mall SUN Plaza. Medan
",__label__positive
Rukun jaya samping yogya mall ketanggungan(Jl dipenogoro),__label__positive
"JL.GALEH BANJARSARI LUTANSA CELL SAMPING RISKI HIJAB.BANJARSARI, KRADENAN,KAB.GROBOGAN,JAWA TENGAH, KAB. GROBOGAN, KRADENAN, JAWA TENGAH, ID, 58182
",__label__positive
jalan pendidikan raya (Andra cell ),__label__positive
"Simabur, Batu-basa di dekat toko afca cell KAB. TANAH DATAR-PARIANGAN, SUMATERA BARAT, ID 27264",__label__positive
Plaza margaguna no 2 (PT global travelindo pratama),__label__positive
"Jl. Perintis Kemerdekaan, Perumahan puri asri VI no A7 (depan mall mtos)",__label__positive
"malampah(Nadhira Cell pasar,jalan malmpah,Malampah
tigo nagari (iii nagari) KAB.PASAMAN ,Tigo Nagari (iii Nagari), SUMATRA BARAT, ID 26353)",__label__positive
"jalan cilame, GN cell (paud dahlia maju lagi sedikit)",__label__positive
"Komplek Mall Balikpapan Baru blok AB 2 no 17-20,25 Panacea Clinic(lantai 1 bagian apotek)",__label__positive
"Jl. Raya Kamal, Banyu Ajuh, Banyuajuh, Kamal, Kabupat¨¦n Bangkalan(Konter Bahari cell 2 ",__label__positive
"spr plaza padang(spr pkaza padang, ground floor (Toko VANI LABEL))",__label__positive
Surya Cell 4 bontang(toko Surya Cell 4),__label__positive
" Jl. Jendral ahmad yani no .1 marga jaya , bekasi jawa barat 17141 (Fore mega mall bekasi , samping burger king )",__label__positive
"Jalan Soekarno Hatta, Tanjung Aman, North Lampung Regency(jalan Soekarno Hatta perempatan kebon empat lampu merah konter naga Cell samping alfamart)",__label__positive
jl. kh. agus salim bandar kidul mojoroto kediri(konter MS phone),__label__positive
konter Chelsea phone,__label__positive
Jl.sersan marjuki rt04/03 no.104 pekayon jaya. Bekasi selatan 17148(Deket mall kamala lagoon),__label__positive
"Hartono Mall Solo, Jalan Insinyur Soekarno, Dusun II, Madegondo, Grogol, Kabupat¨¦n Sukoharjo(Toko skechers hartono mall solo baru)",__label__positive
Jl.gapuro no 40 rt. 16 rw. 04(Eva Cell / Wani Wangi Parfum),__label__positive
JL. kidemang singomenggolo RT 6 RW 2(Toko buagus electronic dan furniture),__label__positive
"jln Talang betutu lama (RT 26 RW 11 Ruko no 1 konter Orion Cell (ada plang Oppo warna hijau) 

)",__label__positive
"JL.GALEH BANJARSARI LUTANSA CELL SAMPING RISKI HIJAB.BANJARSARI, KRADENAN,KAB.GROBOGAN,JAWA TENGAH, KAB. GROBOGAN, KRADENAN, JAWA TENGAH, ID, 58182",__label__positive
Icon Mall Gresik lantai LG Stand moru milk(Stand moru milk depan transmart),__label__positive
"Arina Cell, Jalan Ngamarto, RT.04/RW.02, Bolorejo, Tiru Lor, Kediri, East Java (DEPAN ARINA CELL RUMAH WARNA KUNING)",__label__positive
showroom TX The Executive (Hartono mall yogya lantai GF),__label__positive
Jl.A.Yani Air karang (depan Anita phone cell samping galon),__label__positive
"Jl. Ahmad yani, sukmajaya, kec. jombang(Cilegon Center Mall lantai LG stand dumdum thaitea)",__label__positive
Jln.pulau sumatra Konter cempaka cell pertokoan belakang halte,__label__positive
foto cantik(deretan mall mandonga),__label__positive
Jl Kepatihan Mall Kings Shopping Center(Toko Genesis Lt.1),__label__positive
"dsn. bendil malang RT 04/ RW 03 (konter ALBY CELL barat jalan, utara SDN MRONJO 1)",__label__positive
"Grand ITC Pertama HijauToko Branded Fashion78, Lantai 2 Blok C1 No 6 dan 7",__label__positive
"Seafood 68 cijantung, RT.4/RW.4, Cijantung(Samping Mall graha cijantung (Pintu Soedirman parkiran food court)
)",__label__positive
Jl Pademangan 8 Rt 05 Rw 010 no 55 (Karang Jambu Cell Pademangan ),__label__positive
"Kupang, Jl. A. Yani(sebelah fian phone, depan rumah ada gerobak odading)",__label__positive
"Gunung samarinda, balikpapan baru perumahan san fransisco blok FG-1(Perumahan depan mall fantasi masuk gerbang banyak cluster saya(cluster san fransisco)rumah kuning, di pojok, ada ring basket)",__label__positive
Toko sinar cell  jl. ciptomangunkusumo no.27 ciamis 46211,__label__positive
"Hana cell sate, jalan gajah mekar No 1,RT.1/RW.3,gajah Mekar, Kutawaringin No posts 40911(jl pamentasan )",__label__positive
jln pulau tegal no 59 waydadi sukarame bandar lampung(aldilla cell ),__label__positive
"konter M3 sebelahnya toko mas mustika (pasar Jum'at Pabuaran konter Waluya Cell sebrang toko mas mustika 
)",__label__positive
sukra dusun badong rt02/rw01 kec.sukra kab Indramayu (Samping konter Irma cell ada pom mini masuk gang),__label__positive
"rt13 RW 05 dusun sadeng(sebelum nya toko OTW Cell 
)",__label__positive
TB.gudang jaya plaza pagaden(TB gudang jaya),__label__positive
jln.arteri Galuh mas mall festiv walk Karawang (toko Boston health and beauty lt.1 sky bridge (samping toko gabino)),__label__positive
konter tara 2 cell samping J&T,__label__positive
Telukjambe timur(Resinda Mall Lt 1 tenant Resinda Show Unit  atas nama Mugie ),__label__positive
jalan seth Adjie langkai kelurahan pahandut ( toko erafone ) sebelah toko gigle (toko Erafone sebelah gigle),__label__positive
hartono Mall bellagio lantai dasar(hartono Mall bellagio lantai dasar),__label__positive
TK.setia phone Chell Jl.raya Mauk tanjakan Rajeg (DepanTower)(Toko),__label__positive
Sinar Mutiara Cell Blok GG7 No 30,__label__positive
"new diamond cell ( depan indomart)(jl.tajem-kadisoka, Maguwoharjo,Depok,Sleman)",__label__positive
"Kota gorontalo, Jl. Manggis(JLN MANGGIS RUMAH DPN POM MINI RARA CELL SAMPING TOKO SERBA BNGUNAN 2 )",__label__positive
depan sd atta cell Sukarame gunung labuhan(Sukarame gunung labuhan),__label__positive
Jln. sarang gagak (gang mushola An-Nur depan tosmesn Cell kos buk nur),__label__positive
"ITC KEBON KELAPA, Jl. Moh. Toha Jalan Pungkur(Indo cell (sparepart hp)  lt.3 blok A3 no. 12-14)",__label__positive
Komplek Cendana Tahap 1 Blok B no 2 Kecamatan Batam Kota(Rumah warna hitam abu2 cendana belakang masuk dari portal sebrang indomaret mall botania 2),__label__positive
"pondok indah mall 1(Hotstar pondok indah mall 1 Lt . 1 jl. Metro pondok indah foodcourt area 51   , KOTA JAKARTA SELATAN, KEBAYORAN LAMA, DKI JAKARTA, ID, 12210)",__label__positive
"D'Grape Massage, RT.8/RW.12(depan mall Daan Mogot blakang bank bjb)",__label__positive
WTC Cell jln pb sudirman no.65 jajag banyuwangi,__label__positive
"RT 02 RW 10
(KONTER ALL CELL TIMUR JALAN)",__label__positive
"Jln.silo, RT 16 RW 02 teluk bayur ( Counter Silo Cell )",__label__positive
"Jl. Pamoyanan, RT.01/RW.07, Pamoyanan(Dari smp dasa lurus dikit ada plang eny salon atau konter dado cell masuk ke gang rmh pager coklat)",__label__positive
Aeon mall bsd(Huawei store Aeon mall bsd lt.3 ),__label__positive
"Toko Erafone, Mall Ciputra Tangerang ciakar(lt. 3 deket fun world)",__label__positive
plaza Senayan jalan Jend Sudirman (the body shop plaza Senayan lantai lg),__label__positive
Grand Batam Mall Lantai 3 (Chizu Honzu),__label__positive
Jalan kampung kebon/dusun 1 rt 05 rw 02 Jejalen Jaya(depan hasan cell ada gg masuk aja yang kalo sore ada tukang nasi uduk),__label__positive
Jl.cendrawasih raya18 rt03/03 sawah baru ciputat tangsel(Dekat bx mall n UPJ),__label__positive
jl. kramat jaya raya no.27 rt.06 rw.14 kel. lagoa kec. koja (erafone depan islamik sebelah alfa midi),__label__positive
Dusun 1 ds Simpang Tanjung(Jln.kasuari No 148 dari Hellen cell maju lagi simpang Tanjung ),__label__positive
jelun rt/ rw 17/03(timur hania cell rumah warna pink),__label__positive
jln.arteri Galuh mas mall festiv walk Karawang (toko Boston health and beauty lt.1 sky bridge ,__label__positive
konter berkah Cell pertigaan lampu merah,__label__positive
"babakan sari (konter yusi cell sebrang jembatan baru dobo banjar 
)",__label__positive
jln letjend suprapto mall itc cempaka mas(mall itc cempaka mas lantai 4 blok i no 738 meteor pc),__label__positive
depan bengkel latuppa body repair ( PELANGI CELL)(KONTER PELANGI CELL ),__label__positive
jl.bandara adisumarmo no.85 colomadu (jasmine cell)(konter jasmine cell depan lap.auri),__label__positive
kantor manajemen sun plaza area parkir mobil lantai 1 ,__label__positive
jln abd silondae no. 88 toko bintang mas (depan mall mandonga samping maybank),__label__positive
Jl. pahlawan seribu Itc bsd (Toko YenyenJeans Lt. UG blok 3A no.5),__label__positive
"Roti o mall depok town center, pancoran mas, kota depok 16517",__label__positive
sharon cell serbelawan,__label__positive
konter Gucci Cell depan bank BNI pasar bawah muara bungo,__label__positive
"jl brigjen katamso, watez, kulon progo(sahabat cell wates)",__label__positive
"Plaza Kabanjahe Lt 1. Jl Jendral Sudirman No 197 Kabanjahe
",__label__positive
"toko Aisya Cell setelah SMP N 5 Sawahlunto , Talawi , kota Sawahlunto",__label__positive
jl kapten muslim plaza millenium toko intikom no 6.(lantai dasar no 6 toko intikom),__label__positive
"plaza Summarecon Bekasi, jl.bulevard Ahmad Yani kav KAA 001, MARGA MULYA, BEKASI
(kantor marketing galery, samping menara mandiri.)",__label__positive
"Jalan Mujair, Tambak(Jalan Mujair ( rumah ada benner RATNA CELL )Desa Banjar Kemuning Sedati Sidoarjo, KAB. SIDOARJO, SEDATI, JAWA TIMUR, ID, 61253)",__label__positive
Jalan Belakang Mall Fantasi komplek Balikpapan Baru Cluster Kyoto Blok BC 10 A (Samping xtreme Gym),__label__positive
jalan olo damar no 57(informa living plaza padang),__label__positive
Konter Songgo Cell jl Letjen Sutoyo Blolo Karangampel Kudus,__label__positive
baranangsiang komplek itc kosambi blok g16(sebelah ACUS),__label__positive
Jalan Citarik gardu samping konter Fauzan Cell cat rumah warna oren,__label__positive
"masuk GG Alfin laundry Dpn konter Aisya phone, rumah pak rudianto pangsit",__label__positive
"taman dewa, Mandiangin, kabupaten Sarolangun, Jambi(konter viona cell desa taman dewa)",__label__positive
jln bukit kencana RT 13 RW 08 no 72 depan kia Cell samping cluster 2,__label__positive
CIMB Niaga Digital Lounge(Mall Grand Indonesia East Mall Lantai 5 Jl.MH Thamrin No.1),__label__positive
"PT. ADEI Plantation & Industry, Pangkalan Kerinci Kota, Pelalawan Regency(falfa cell atau pos 1)",__label__positive
jln raya Jember Dsn Krajan desa .kedayunan RT 01 RW 03 (konter Titin Cell timur jalan),__label__positive
"jl citamiang,kp baru 03/18 (anugerah cell pak maman) banjaran wetan",__label__positive
Damai Cell Yosowilangun Selatan lampu merah yosowilangun(KONTER DAMAI CELL),__label__positive
"Planet Surf Plaza Ambarukmo, Ambarukmo, Catur Tunggal(Lantai 2)",__label__positive
jl kp baru kubur koja RT006/015 (Babon Cell)(samping babon cell ),__label__positive
"jalan mulyasari,rt 5,rw 4,depan salon desilva,TIA CELL BRILINK",__label__positive
"Didalam Jogja city mall (Toko manZONE), Lantai UG(Dekat toko Cardinal dan toko Rubi)",__label__positive
"Jalan Prabu Kian Santang No.47, RT.004/RW.001, Gebang Raya, Tangerang City(jl prabu kian Santang no 47- 50 Jatiuwung Tangerang Banten ( Toko handphone Gemilang Cell ))",__label__positive
Jalan sei brantas di Sigma Cell (dekat apotek) (di Konter Sigma Cell),__label__positive
"konter Anugerah cell sebelah ananda market(gringsing depan pom mini
)",__label__positive
Lippo Mall Kemang Jl.Pangeran Antasari(Lantai LG depan Hypermart toko Ponut donat kentang),__label__positive
jl dr leimena no 43B (konter hafiz cell samping indomaret)(konter samping indomaret pertama dr leimena),__label__positive
"Ngablak,kroyo karangmalang(Konter Why 3 cell )",__label__positive
"BILAL RENTAL GAME, Jalan Raya Panaragan Jaya - Pulung Kencana, Panaragan, West Tulang Bawang Regency(konter Bilal Cell RK 4 RT 2)",__label__positive
ngablak Kroyo Karangmalang Sragen(konter why cell ),__label__positive
"Jln, jendral Sudirman no 1, Cikokol, TangCity mall,Toko my nail lantai 2 (depan Cinema xxi ).(di dalam mall TangCity)",__label__positive
Royal Plaza Surabaya(W.A.H Gold & Jewellerry Royal plaza surabaya B5 23/25),__label__positive
plaza marina lt2 B10-11 (top laptop)  60238,__label__positive
toko tas sepatu sandal plaza(lantai 1),__label__positive
"Rt 3 Rw 3. utara kantor desa selopuro, depan GENDRUX CELL Kec. Selopuro Kab.Blitar 66185(depan counter (GENDRUX CELL) )",__label__positive
"dhito cell jengkol rt 01 rw 03 pakis magelang,  jln magelang kopeng km 15(counter pulsa dhito cell)",__label__positive
"konter Anugerah cell sebelah ananda market(gringsing, depan pom mini)",__label__positive
"FAZA CELL Jln mayor pol zainal arifin rt 31 kelurahan damai balikpapan, kota balikpapan(FAZA CELL)",__label__positive
Konter maniz cell Depan indomaret gondang 2,__label__positive
padangan konter laris Cell sebelah rel kereta api(konter lariscell sebelah rel kereta),__label__positive
kp wareng rt03 rw04(pinggir pom mobile),__label__positive
jln baru samping central service ruko hidaya A3 konter pulsa 69 Cell depan perum DPRD ,__label__positive
"Name : Lia

Phone Number : 081315462768

Address : Jl anggrek rosliana IV No.30 blok E (tanya orang aja rumah bang omen polisi, soalnya nomer rumah gak ber aturan)

Propinsi : (DKI Jakarta) 

Kelurahan : Kemanggisan

Kecamatan : Palmerah

City : (Jakarta Barat)",__label__positive
"dusun jereng barat Gugut Rambipuji(ladang tebu ada Fitri cell belok kiri
)",__label__positive
toko blessing Cell muka post satu pelabuhan Bitung toko BLESSINGCELL,__label__positive
"toko queen cell samping minimarket plamboyan,
jln.lintas timur",__label__positive
Gebi Cell Jembatan 1(Depan Hall Juanda ),__label__positive
"Plaza Balikpapan, Jalan Jenderal Sudirman(Lt ug no 39 toko jam timeconcept)",__label__positive
jl raya pitameh no19 kecamatan lubuk Begalung kelurahan Tanjung sabar pitameh rt02 RW 04(Fina cell depan SPBU pitameh),__label__positive
Dsn. ketangi Kunir lor RT 07/RW 02 No. 9 Kec.Kunir Kab Lumajang (Darmawan Cell selatan balai desa kunir lor),__label__positive
"Kosan No 14(Depan cell serba botol plastic), Warung bambu, Jalan suhud hidayat",__label__positive
"Lolypoly solo Paragon mall lantai 1 sebelah Samsung (sebalah Samsung lantai 1 (ff) 
)",__label__positive
Jln I Gusti Ngurah Rai no 26-27 toko techno phone samping kantor kredit plus ,__label__positive
"Java Phone, Jalan Jogja - Turi Jl. Raya Kayunan, Kasenan(Depan Toko Hasna Jaya (Konter Java Phone))",__label__positive
kuwayuhan rt2 rw5 pejagaoan barat JNE kuwayuhan depan RSC Farah cell rumah warna biru ada warung,__label__positive
belakang konter servis hp Sanjaya phone Cell (Utara pasar ),__label__positive
"gang ojek padang, desa babakan dayeuh rt 4/3 kontrakan H.idris konter yuta cell.(konter yuta cell gg ojek padang Alfamart dalam)",__label__positive
"Zimbah Cell Hp,elektronik Dan Audio Sound System, Jalan Rajawali, Diro",__label__positive
jco donuts & cofee citymart plaza bitung(jco donuts & cofee citymart plaza bitung),__label__positive
Toko HP HENDANY PHONE MAGETAN KOTA(JL A Yani TOKO HP HENDANY PHONE ),__label__positive
zafa cell jl. indah raya,__label__positive
"3Second Rita Mall Lantai 1
Jl.jend.soedirman no 296 kec.purwokerto timur Kab.Banyumas Jawa Tengah",__label__positive
Icam cell . jl. mbah buka . ds. kabukan tengah rt/rw:01/02 . no.14(gang cempaka . konter icam cell),__label__positive
muara beres GG.swadaya raya rt02/04(gang depan rudi cell rumah warna hijau samping warna merah),__label__positive
pesona cell lubuk alung samping teras BRI kp.tarandam,__label__positive
"Jalan Labu 1, Kios Plaza Jayakarta(Floor 5 TB 1)",__label__positive
Olala cell Sp 1 lagan jaya,__label__positive
"Jl.Kapten Tendean No.25,Rt/Rw: 002/005, 
kel. kuningan barat ,kec.mampang prapatan,kota jakarta selatan,daerah khusus ibukota jakarta ,kodepos:12710(di samping hotel diradja, dekat anto cell )",__label__positive
"kp. Wanakerta RT/RW 03/02 , Samping mesjid Al Muhajirin (KEDAI SEBLAK DK) SAMPING KONTER DRIAN CELL , SAMPING MIE AYAM MAS BOY",__label__positive
depot distro store jl cibogo wetan no.72 rt.05 rw 03 kp.pabuaran kec.kelapa dua kab tangerang banten(dalem futsal firstman champion pabuaran belakang summarecon mall serpong),__label__positive
Toko Jakarta Electronic no.34(Samping toko sinar jaya foto dan Ktc),__label__positive
konter dewi cell ,__label__positive
"Jl. Kol. Sugiono Kemandungan, Kemandungan, Tegal City, Central Java(Dari Pasifik Mall Ke barat Src Aminah)",__label__positive
plaza atrium Senen raya no 135 kota Jakarta pusat (cakekinian lt 1 depan matahari),__label__positive
"meteor cell kepanjen
",__label__positive
toko My feet lantai UG gandaria city mall jakarta selatan(toko my feet lantai ug),__label__positive
"SAMSUNG STORE MALL ITC ROXY MAS, Cideng, Central Jakarta City, Jakarta(lt. dasar depan toko advanger)",__label__positive
"Ef English first Cibubur , jl alternatif Cibubur km 04 komplek ruko Jimbaran blok r1 no 27 (samping mall Ciputra (citra grand Cibubur))",__label__positive
"jl. lapangan bola rt 004/rw 015 no.102 jawa barat, bekasi barat, kranji 17135(griya kontrakan ( depan konter d'jawa cell ))",__label__positive
jl jendral Sudirman kav 76-78 Sudirman Plaza Indofood tower office ISS B1,__label__positive
"jl.margaguna raya ruko plaza 5 blok C6 (Adira Finance) kebayoran baru,Gandaria Utara,Jakarta Selatan(blok C6)",__label__positive
"Sandy Cell Smartphone, Jalan Sultan Hasanuddin, Baqa, Samarinda City(depan mako brimob)",__label__positive
Jl. Pemuda di konter TA CELL sebelah timur lapangan sepakbola kersana,__label__positive
Jl. Sumatra IX no 48(Masuk gapura depan ammar cell kira2 50m),__label__positive
Setrasari Mall B2 no 22,__label__positive
"Toko Ella Cell (samping toko sony) Jalan Jendral S. Parman, Mentawa Baru Hulu",__label__positive
konter meghanai cell pekon tulung bamban kec pesisir selatan kab pesisir barat,__label__positive
Kemantren wetan RT2 RW1 (gang depan all cell counter hp),__label__positive
SODA CELL konter kanan jalan depan yayasan al ashar karang agung,__label__positive
dusun 3 dekat ardi cell tanjung kemala kec. baturaja timur(masuk lorong dekat ardi cell),__label__positive
Rajawana Rt 18 Rw 06 (Ekonomi Phone Cell),__label__positive
"jalan daha tanjungsari rt01 rw02
toko YUSTIN cell tanjung sari kajen pekalongan Jawa tengah(toko YUSTINCELL kajen tanjungsari)",__label__positive
"Mal Artha Gading, Jalan Artha Gading Selatan, Kelapa Gading Barat, Kelapa Gading, North Jakarta City(electronic city lt 1 )",__label__positive
"Warung Tekko, Jl. Boulevard Ahmad Yani, Marga Mulya, Bekasi Utara(warung tekko summarecon mall bekasi)",__label__positive
dsn banjarpoh desa banjarbendo rt 11 rw 05(perempatan konter president cell sebelahnya ada gapura banjarpoh itu masuk dikit sebelah kiri ada gang sentul itu masuk lurus notok belok kanan),__label__positive
jl. kh siddiq Gg. 9(konter wahabi cell ada gang masuk),__label__positive
"dsn. gulungan
rt. 01/ rw. 06(barat SPBU jimbe ada counter sonor cell utara jalan.
masuk ke utara rumah belakang sendiri..)",__label__positive
"DZ CELL, Jalan Bima, Kejaksan, Cirebon City, West Java depan masjid alfitroh konter (depan masjid alfitroh dz Cell )",__label__positive
"Lippo Plaza Kupang, Jl. Veteran, Fatululi, Oebobo, Kupang City, East Nusa Tenggara (showroom 3second )",__label__positive
Jl.Casablanka raya kav.88 mall kota kasablanka store Mooimom lt.2 unit 258 setiabudi(Jl.Casablanka raya kav.88 mall kota kasablanka store Mooimom lt.2 unit 258 setiabudi),__label__positive
"BRP CELL BANDUNG JL.DIPONEGORO NO.13 TIMUR PASAR BANDUNG, TULUNGAGUNG, JAWA TIMUR",__label__positive
"Jalan Brang Rea


(Taruna Cell RT/03 RW/04)",__label__positive
Pondok Jagung Blok AD 25 (belakang mall wtc),__label__positive
jl raya tirtomarto no 122 Global cell ampelgading kab malang 65183,__label__positive
jl muara baru kembangan lestari blokA no.349 rt001 rw017 (BAGAS CELL MUATA BARU),__label__positive
jl dokter sutomo no 148 (konter langgenk cell utara toko juni elektronik) kanigaran(konter langgenk cell utara toko juni ),__label__positive
Bumi Palapa(Perumahan Bumi Palapa D13 Jl Saxophone Tunggulwulung Lowokwaru Kota Malang),__label__positive
Desa suruhwadang(konter suruhwadang cell Utara lapangan suruhwadang),__label__positive
"Perumahan Triraksa Village 2 Blok N1 No 45 Tigaraksa Tangerang Banten(Jalan Raya Syekh Mubarok depan indomaret Triraksa Village 1  Toko Rio cell Banten,Kab. Tangerang, Tigaraksa )",__label__positive
"Konter mandiri Cell depan kantor pos ubl
",__label__positive
"Dusun Kawan Desa Tohpati(Warung Indah Cell tohpati,Banjarangkan, klungkung)",__label__positive
"GRAND ITC PERMATA HIJAU LANTAI DASAR BLOK D2 N 6
(ELAINE BABY SHOP)",__label__positive
jl sruwen karanggede rt 02 rw 03 ds susukan kec susukan kab semarang(sebelah obral cell susukan),__label__positive
Wulan Cell Dusun Rowopanggang Desa Iser(RT 2 RW 3),__label__positive
"Kampung 4 ,desa Cinta Kasih Jln Beringin,Dekat Konter Haris cell ,Warna cet rumah warna Putih .",__label__positive
jl.s.kelara toko MAESTRO CELL SAMPING INDOMARET DEKAT LAPANGAN PASTUR,__label__positive
toko j store hijab dan busana lantai dasar blok f plaza bogor jalan Suryakencana ID.16123(lantai dasar blok f),__label__positive
"Plaza IBCC, Jl Ahmad Yani No 296 Blok C1 No C11-C12 Bandung(Toko Winstar)",__label__positive
"Pt Nusantara Sakti Nsc Diler Honda, Jalan Semin Cawas Utara, Semin, Semin(samping Ako phone)",__label__positive
gedung Rio x'nter konter akhyar cell ,__label__positive
"JL.Rycudu no 78(Di konter ""ODO CELL"" di titip di konter odo cell aja paketnya)",__label__positive
kp biru RT 04/04 gang konter trians cell desa biru kecamatan Majalaya kabupaten bandung,__label__positive
indomaret alun alun pati plaza lt dasar 59181,__label__positive
Suzuya Mall Rantau Prapat Lantai 1,__label__positive
aviari plaza toko hp Graha Ponsel,__label__positive
Sunrise Mall jl. Benteng pancasila no. 9 depan pintu masuk pas,__label__positive
halte cell simpang pulau berambai muaro sijunjung,__label__positive
"KANDA CELL JLn.brawijaya,no 78 desa lemah kembar,rt/rw:001/001",__label__positive
Isma fajar Cell sumberrejo kec Sumberrejo kab Bojonegoro Jawa timur,__label__positive
"ask cell Batujajar 2
",__label__positive
Btc Fashion Mall jl dr djunjunan no 143-149(KINGSHOP LT FF BLOK E2-09 ),__label__positive
"metro indah mall soekarno hatta, sekejati, buah batu, bandung(blok K-05 (kantor djiriko)",__label__positive
kp. bitung tengah rt 01/04 gg. citi cell No. 3(kontrakan warna pink warung bu asih),__label__positive
Aam cell jln jolotundo ngeterep sedati(Rt 01 rw 01),__label__positive
PT TDK electronics kawasan industri panbil(blok B1-10),__label__positive
Toko everbest sun plaza medan Lt.G zona C05-07(sun plaza lt.g zona c.05-07),__label__positive
jl.Dr cipto mangunkusumo(CSB MALL Toko BERRYBENKA LANTAI GF),__label__positive
